strat,max,num agents,num req,dur,avg wt,max wt,num failed
greedy,0.4,5,1000,100,41.58286682,83.9758242,999
greedy,0.4,10,1000,100,0.4722429,1.547798289,543
greedy,0.4,15,1000,100,0.222889998,0.760753018,115
greedy,0.4,20,1000,100,0.182021183,0.616660079,58
greedy,0.4,25,1000,100,0.158077048,0.616660079,34
greedy,0.4,30,1000,100,0.143549294,0.672420817,19
greedy,0.4,35,1000,100,0.133617201,0.672420817,15
greedy,0.4,40,1000,100,0.123549721,0.489573569,9
greedy,0.4,45,1000,100,0.115539129,0.46647173,7
greedy,0.4,50,1000,100,0.110025747,0.46647173,5
greedy,0.4,55,1000,100,0.10210262,0.46647173,5
greedy,0.4,60,1000,100,0.097464273,0.46647173,5
greedy,0.4,65,1000,100,0.092915295,0.46647173,4
greedy,0.4,70,1000,100,0.087542703,0.448077684,1
greedy,0.4,75,1000,100,0.082529357,0.384087093,0
greedy,0.4,80,1000,100,0.079843585,0.366791088,0
greedy,0.4,85,1000,100,0.077520729,0.366791088,0
greedy,0.4,90,1000,100,0.075470072,0.366791088,0
greedy,0.4,95,1000,100,0.073034346,0.316209847,0
greedy,0.4,100,1000,100,0.070949883,0.316209847,0
greedy2,0.4,5,1000,100,53.99034718,133.6014132,988
greedy2,0.4,10,1000,100,2.617780441,14.00884989,785
greedy2,0.4,15,1000,100,0.298204199,2.495893662,83
greedy2,0.4,20,1000,100,0.226857723,1.968857487,22
greedy2,0.4,25,1000,100,0.193610851,1.48433147,5
greedy2,0.4,30,1000,100,0.177763231,1.926836465,2
greedy2,0.4,35,1000,100,0.167264353,1.295466159,1
greedy2,0.4,40,1000,100,0.157844804,0.399177428,0
greedy2,0.4,45,1000,100,0.147105937,0.399177428,0
greedy2,0.4,50,1000,100,0.139986641,0.399177428,0
greedy2,0.4,55,1000,100,0.135941696,0.399177428,0
greedy2,0.4,60,1000,100,0.1336444,0.399177428,0
greedy2,0.4,65,1000,100,0.127420632,0.396411655,0
greedy2,0.4,70,1000,100,0.123025239,0.390482567,0
greedy2,0.4,75,1000,100,0.119174383,0.396411655,0
greedy2,0.4,80,1000,100,0.116610217,0.399602569,0
greedy2,0.4,85,1000,100,0.113556409,0.399602569,0
greedy2,0.4,90,1000,100,0.111578659,0.392617361,0
greedy2,0.4,95,1000,100,0.109868109,0.399602569,0
greedy2,0.4,100,1000,100,0.108424702,0.399602569,0
rand,0.4,5,1000,100,53.10430724,139.3523298,997
rand,0.4,10,1000,100,2.316581457,11.86579611,728
rand,0.4,15,1000,100,0.360319113,3.511347044,127
rand,0.4,20,1000,100,0.277516987,2.023348136,37
rand,0.4,25,1000,100,0.267009386,1.204720338,18
rand,0.4,30,1000,100,0.256574557,1.443341025,6
rand,0.4,35,1000,100,0.257571157,0.497892819,1
rand,0.4,40,1000,100,0.253172888,1.295996188,3
rand,0.4,45,1000,100,0.253535121,1.197651575,2
rand,0.4,50,1000,100,0.250074422,0.399949193,0
rand,0.4,55,1000,100,0.24819055,0.399783934,0
rand,0.4,60,1000,100,0.247890512,0.399761291,0
rand,0.4,65,1000,100,0.252558962,0.784745308,1
rand,0.4,70,1000,100,0.249223889,0.399722963,0
rand,0.4,75,1000,100,0.251315337,0.399986954,0
rand,0.4,80,1000,100,0.252395708,0.399778392,0
rand,0.4,85,1000,100,0.249260064,0.399836653,0
rand,0.4,90,1000,100,0.247036883,0.399952161,0
rand,0.4,95,1000,100,0.249577232,0.399002825,0
rand,0.4,100,1000,100,0.248331149,0.39990576,0
ranking,0.4,5,1000,100,53.99034718,133.6014132,988
ranking,0.4,10,1000,100,3.658263783,14.02378372,827
ranking,0.4,15,1000,100,0.343180647,4.325079058,104
ranking,0.4,20,1000,100,0.281076721,1.914192705,26
ranking,0.4,25,1000,100,0.266435759,1.416430865,7
ranking,0.4,30,1000,100,0.266246326,1.426587792,4
ranking,0.4,35,1000,100,0.264874257,0.83568291,3
ranking,0.4,40,1000,100,0.265954531,1.006815743,1
ranking,0.4,45,1000,100,0.263639932,0.399991875,0
ranking,0.4,50,1000,100,0.264742395,0.399991875,0
ranking,0.4,55,1000,100,0.265462572,0.399303804,0
ranking,0.4,60,1000,100,0.261560421,0.399303804,0
ranking,0.4,65,1000,100,0.265434144,0.399834623,0
ranking,0.4,70,1000,100,0.261898202,0.399303804,0
ranking,0.4,75,1000,100,0.26499591,0.399303804,0
ranking,0.4,80,1000,100,0.263749189,0.399303804,0
ranking,0.4,85,1000,100,0.264435035,0.399303804,0
ranking,0.4,90,1000,100,0.264845405,0.399303804,0
ranking,0.4,95,1000,100,0.264903004,0.399833129,0
ranking,0.4,100,1000,100,0.264345787,0.399303804,0
